Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
111,Jonathan Calleri,ar ARG,FW,São Paulo,29,1993,15.0,37,2.47,27,0,0,5,5,0,4,0.27,3,0,0,0,1,0,Matches
112,Patric Calmon PK,br BRA,DF,Cuiabá,28,1994,5.8,16,2.77,14,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
113,Guilherme Camacho,br BRA,MF,Santos,32,1990,5.0,6,1.21,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
114,Nathan Camargo,br BRA,MF,Bragantino,17,2005,0.1,1,7.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
115,Gustavo Campanharo,br BRA,MF,Internacional,30,1992,7.7,13,1.68,10,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
116,Camilo Cándido,uy URU,DF,Bahia,27,1995,13.8,38,2.75,33,1,2,2,0,0,4,0.29,2,0,1,1,0,0,Matches
117,Luan Cândido,br BRA,DF,Bragantino,21,2001,12.0,24,1.99,18,2,1,1,2,0,1,0.08,1,0,0,0,0,0,Matches
118,Germán Cano,ar ARG,FW,Fluminense,34,1988,27.4,36,1.31,27,0,1,8,0,0,5,0.18,3,0,0,2,0,0,Matches
119,Agustín Canobbio,uy URU,"FW,MF",Ath Paranaense,24,1998,23.5,107,4.56,75,4,8,7,12,1,9,0.38,8,0,0,0,1,0,Matches
120,Víctor Cantillo,co COL,MF,Corinthians,29,1993,3.0,5,1.69,5,0,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
121,Manuel Capasso,ar ARG,DF,Vasco da Gama,26,1996,6.2,7,1.14,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
122,Juninho Capixaba,br BRA,DF,Bragantino,25,1997,31.9,111,3.47,80,9,3,9,6,4,3,0.09,2,0,0,1,0,0,Matches
123,Gabriel Carabajal,ar ARG,MF,Vasco da Gama,31,1991,1.4,11,8.11,9,0,2,0,0,0,1,0.74,1,0,0,0,0,0,Matches
124,Felipe Carballo,uy URU,MF,Grêmio,26,1996,17.1,33,1.93,28,1,0,4,0,0,3,0.18,2,0,0,1,0,0,Matches
125,Johnny Cardoso,us USA,MF,Internacional,21,2001,17.9,34,1.91,29,0,1,2,0,2,7,0.39,4,0,0,2,0,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
126,Ed Carlos,br BRA,"MF,FW",Santos,21,2001,0.4,3,7.30,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
127,João Carlos,br BRA,GK,Cuiabá,34,1988,3.0,1,0.33,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
128,Ryan Carlos,br BRA,DF,Bahia,20,2002,6.4,16,2.49,12,1,2,1,0,0,2,0.31,2,0,0,0,0,0,Matches
129,Alan Carvalho,cn CHN,MF,Fluminense,33,1989,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
130,Breno Cascardo,br BRA,MF,América (MG),19,2003,12.9,27,02.09,21,0,2,3,0,1,2,0.16,1,0,0,1,0,0,Matches
131,Cássio,br BRA,GK,Corinthians,35,1987,36.8,4,0.11,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
132,Luciano Castán,br BRA,DF,Cruzeiro,33,1989,35.7,26,0.73,22,1,0,3,0,0,1,0.03,1,0,0,0,0,0,Matches
133,Iury de Castilho,br BRA,FW,Cuiabá,27,1995,4.4,8,1.81,5,0,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
134,Matheus Cavichioli,br BRA,GK,América (MG),36,1986,15.0,4,0.27,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
135,Juan Cazares,ec ECU,"MF,FW",América (MG),30,1992,3.1,16,05.07,12,3,0,1,0,0,3,0.95,2,0,0,1,0,0,Matches
136,Brayan Ceballos,co COL,DF,Fortaleza,21,2001,2.3,1,0.44,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
137,Pablo Ceppelini,uy URU,MF,Cuiabá,31,1991,11.1,51,4.62,19,27,1,3,1,0,3,0.27,0,3,0,0,0,0,Matches
138,Murilo Cerqueira,br BRA,DF,Palmeiras,25,1997,24.1,26,01.08,21,0,1,2,0,2,3,0.12,3,0,0,0,0,0,Matches
139,Ricardo Cerqueira,br BRA,MF,Cuiabá,20,2002,0.1,1,11.25,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
140,Júlio César,br BRA,DF,América (MG),19,2003,6.6,4,0.61,3,0,1,0,0,0,2,0.30,1,0,1,0,0,0,Matches
141,Reynaldo Cesar Moraes,br BRA,DF,Cruzeiro,26,1997,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
142,Reynaldo Cesar Moraes,br BRA,DF,Coritiba,26,1997,2.7,1,0.37,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
143,Kayky Chagas,br BRA,"FW,MF",Bahia,19,2003,4.6,14,03.07,7,3,3,1,0,0,2,0.44,1,0,1,0,0,0,Matches
144,Jhon Chancellor,ve VEN,DF,Coritiba,31,1992,3.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
145,Gabriel Chapecó,br BRA,GK,Grêmio,22,2000,31.0,5,0.16,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
146,Gabriel Chaves,br BRA,"FW,MF",Vasco da Gama,21,2001,29.0,84,2.90,46,10,11,5,12,0,8,0.28,4,1,1,0,2,0,Matches
147,Jhoanner Chávez,ec ECU,"DF,MF",Bahia,20,2002,6.5,18,2.75,17,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
148,Chiqueti,br BRA,MF,Ath Paranaense,17,2005,0.2,,,,,,,,,,,,,,,,,Matches
149,Christian,br BRA,"MF,FW",Ath Paranaense,22,2000,15.1,49,3.24,28,5,5,5,2,4,1,0.07,1,0,0,0,0,0,Matches
150,Cicinho,bg BUL,DF,Bahia,34,1988,8.4,15,1.80,11,2,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
151,Cipriano,br BRA,DF,Bragantino,20,2002,0.8,1,1.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
152,Marcelo Cirino,br BRA,"FW,MF",Ath Paranaense,31,1992,1.1,1,0.88,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
153,Léo Cittadini,br BRA,MF,Bahia,28,1994,1.5,3,1.91,1,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
154,Léo Cittadini,br BRA,"MF,FW",Ath Paranaense,28,1994,2.2,6,2.69,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
155,Mateus Claus,br BRA,GK,Bahia,28,1994,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
156,Clayson,br BRA,"FW,MF",Cuiabá,27,1995,18.2,62,3.41,29,15,4,4,8,2,5,0.27,2,1,0,0,1,1,Matches
157,Mateus Cocão,br BRA,MF,Vasco da Gama,20,2002,3.9,11,2.85,10,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
158,Diego Costa,es ESP,FW,Botafogo (RJ),34,1988,5.7,12,02.09,7,0,1,1,3,0,2,0.35,1,0,0,1,0,0,Matches
159,Philippe Costa,br BRA,FW,Goiás,22,2000,1.2,5,4.13,2,0,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches
160,Talles Costa,br BRA,"MF,FW",São Paulo,20,2002,1.5,6,4.00,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
161,Lucas Crispim,br BRA,"MF,DF",Fortaleza,28,1994,5.4,26,4.80,23,2,0,0,1,0,1,0.18,0,0,0,0,1,0,Matches
162,Franco Cristaldo,ar ARG,"MF,FW",Grêmio,26,1996,23.7,98,4.14,62,28,1,2,5,0,12,0.51,7,3,0,1,1,0,Matches
163,Tomás Cuello,ar ARG,"MF,FW",Ath Paranaense,22,2000,22.8,77,3.37,46,7,10,2,7,5,8,0.35,7,0,0,0,1,0,Matches
164,Víctor Cuesta,ar ARG,DF,Botafogo (RJ),34,1988,35.0,26,0.74,23,0,0,2,0,1,2,0.06,1,0,0,1,0,0,Matches
165,Cuiabano,br BRA,"DF,MF",Grêmio,19,2003,5.4,13,2.39,9,1,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
166,Lucas Cunha,br BRA,DF,Bragantino,26,1997,0.8,2,2.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
167,Matheus Cunha,br BRA,GK,Flamengo,21,2001,17.6,2,0.11,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
168,Ian Custódio,br BRA,DF,Palmeiras,19,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
169,João Dalla Corte,br BRA,DF,Internacional,16,2006,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
170,Danielzinho,br BRA,"FW,MF",Bahia,27,1996,0.9,9,10.13,8,0,0,1,0,0,1,1.13,0,0,0,1,0,0,Matches
171,Danielzinho,br BRA,FW,Ath Paranaense,20,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
172,Danielzinho,br BRA,MF,Fluminense,27,1996,6.8,36,5.29,31,2,2,0,1,0,1,0.15,1,0,0,0,0,0,Matches
173,David,br BRA,"FW,MF",São Paulo,27,1995,8.1,29,3.56,21,0,3,2,2,1,2,0.25,2,0,0,0,0,0,Matches
