Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
296,Luis Guilherme,br BRA,"FW,MF",Palmeiras,16,2006,6.4,182,246,74,3367,744,86,99,86.9,67,88,76.1,27,45,60,0,1.2,1,-1.2,12,16,14,6,28,Matches
297,Gustavinho,br BRA,"FW,MF",Grêmio,21,2001,0.4,13,21,61.9,199,98,3,6,50,7,8,87.5,1,5,20,0,0.1,0.1,-0.1,1,0,1,0,2,Matches
298,Gustavinho,br BRA,"MF,FW",Bragantino,18,2004,7.4,225,298,75.5,3364,899,133,158,84.2,70,87,80.5,17,35,48.6,0,0.4,0.3,-0.4,4,31,6,1,37,Matches
299,Raphael Guzzo,pt POR,MF,Goiás,28,1995,6.4,264,313,84.3,4219,1332,134,148,90.5,110,122,90.2,13,25,52,0,0.6,1,-0.6,5,41,6,0,47,Matches
300,Lucas Halter,br BRA,DF,Goiás,22,2000,28.7,1010,1229,82.2,21384,8953,274,303,90.4,573,655,87.5,151,231,65.4,0,0.2,0.6,-0.2,5,81,6,0,107,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
301,Hayner,br BRA,"DF,MF",Coritiba,27,1995,3.4,96,142,67.6,1726,729,43,57,75.4,41,61,67.2,11,19,57.9,0,0.3,0.2,-0.3,5,13,3,1,14,Matches
302,Thiago Heleno,br BRA,DF,Ath Paranaense,34,1988,30.9,1276,1526,83.6,28855,11946,279,319,87.5,748,810,92.3,236,363,65,0,0.4,0.7,-0.4,5,83,7,0,87,Matches
303,Helinho,br BRA,FW,Bragantino,22,2000,15.4,531,780,68.1,8684,2376,298,348,85.6,166,236,70.3,55,132,41.7,2,3.9,3.9,-1.9,34,42,26,5,73,Matches
304,Henrique,br BRA,DF,Coritiba,36,1986,22.5,643,726,88.6,12353,4244,222,243,91.4,348,373,93.3,68,98,69.4,0,0,0.3,0,0,21,0,0,31,Matches
305,Bruno Henrique,br BRA,"FW,MF",Flamengo,32,1990,17.1,378,502,75.3,5388,1053,251,291,86.3,102,128,79.7,19,31,61.3,1,1.9,1.9,-0.9,23,21,18,5,39,Matches
306,Bruno Henrique,br BRA,MF,Internacional,33,1989,11.7,621,746,83.2,10862,3167,292,325,89.8,251,284,88.4,67,108,62,0,1.8,2.2,-1.8,27,76,14,3,78,Matches
307,Dalbert Henrique,br BRA,DF,Internacional,29,1993,5.5,246,328,75,4090,1453,113,130,86.9,112,138,81.2,13,33,39.4,0,0.2,0.2,-0.2,4,21,3,2,21,Matches
308,Fernando Henrique,br BRA,MF,Cruzeiro,21,2001,1.5,38,46,82.6,724,166,13,15,86.7,17,20,85,5,5,100,0,0,0,0,0,6,1,0,4,Matches
309,Luis Henrique,br BRA,"FW,MF",Botafogo (RJ),21,2001,15.3,487,624,78,8053,1889,257,301,85.4,172,210,81.9,44,73,60.3,2,1.6,1.7,0.4,32,32,23,4,63,Matches
310,Mateus Henrique,br BRA,DF,América (MG),20,2002,6,196,275,71.3,3326,1305,89,109,81.7,80,110,72.7,18,39,46.2,1,0.6,0.6,0.4,6,17,6,3,18,Matches
311,Paulo Henrique,br BRA,DF,Vasco da Gama,26,1996,9.5,353,481,73.4,5782,2214,181,196,92.3,138,196,70.4,27,59,45.8,1,0.9,1.2,0.1,13,22,10,8,30,Matches
312,Pedro Henrique,br BRA,DF,Ath Paranaense,27,1995,9.5,399,472,84.5,8587,3591,120,132,90.9,210,229,91.7,65,103,63.1,0,0.1,0.5,-0.1,1,26,4,1,35,Matches
313,Pedro Henrique,br BRA,"FW,MF",Internacional,32,1990,14.1,257,362,71,4193,681,145,172,84.3,86,123,69.9,20,47,42.6,2,1,1.6,1,14,11,10,3,24,Matches
314,Breno Herculano,br BRA,"FW,MF",Goiás,23,1999,0.9,8,14,57.1,109,17,5,10,50,3,3,100,0,0,,0,0,0,0,1,0,0,0,1,Matches
315,Hércules,br BRA,MF,Fortaleza,22,2000,8.6,256,313,81.8,4506,1164,122,138,88.4,101,118,85.6,29,42,69,0,0.1,0.2,-0.1,4,31,2,1,32,Matches
316,Diego Hernández,uy URU,FW,Botafogo (RJ),22,2000,0.5,9,13,69.2,118,14,5,5,100,2,5,40,1,2,50,0,0,0,0,0,1,0,0,1,Matches
317,Nicolás Hernández,co COL,DF,Internacional,25,1998,14.4,680,780,87.2,13059,4400,238,252,94.4,380,410,92.7,57,102,55.9,2,1,1,1,2,52,3,1,65,Matches
318,Lucca Holanda,br BRA,FW,Internacional,19,2003,6.1,86,125,68.8,1035,96,61,74,82.4,19,34,55.9,1,2,50,1,0.1,0.1,0.9,3,0,1,0,3,Matches
319,Hugo,br BRA,DF,Goiás,25,1997,15.8,517,737,70.1,8794,4348,273,318,85.8,185,269,68.8,52,111,46.8,1,1.7,1.9,-0.7,16,40,17,4,61,Matches
320,Hugo,br BRA,DF,Botafogo (RJ),21,2001,15.5,607,788,77,9797,3725,323,357,90.5,212,268,79.1,50,115,43.5,2,1.6,1.5,0.4,19,61,11,8,69,Matches
321,Victor Hugo,br BRA,"MF,FW",Flamengo,18,2004,14.2,575,674,85.3,9260,2101,297,332,89.5,245,273,89.7,29,45,64.4,2,1.7,2.4,0.3,13,69,17,2,78,Matches
322,Vitor Hugo,br BRA,DF,Bahia,31,1991,23.7,896,1045,85.7,17690,6526,274,307,89.3,529,575,92,90,142,63.4,0,0.5,0.6,-0.5,4,72,5,0,85,Matches
