Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
81,Guilherme Biro,br BRA,"FW,MF",Corinthians,18,2004,6.4,8,4,5,2,1,3,14,21.4,11,12,0,12,3,11,2,0,Matches
82,Bitelo,br BRA,"MF,FW",Grêmio,23,2000,17.2,29,21,14,11,4,15,39,38.5,24,26,6,20,20,49,12,0,Matches
83,Paulinho Bóia,br BRA,FW,América (MG),24,1998,1.5,2,2,0,2,0,2,3,66.7,1,0,0,0,0,2,0,0,Matches
84,Thiago Borbas,uy URU,FW,Bragantino,20,2002,15.9,13,9,3,7,3,3,15,20.0,12,14,0,14,2,15,8,0,Matches
85,Ângelo Borges,br BRA,"FW,MF",Santos,18,2004,6.0,10,8,2,5,3,5,10,50.0,5,11,0,11,5,15,1,0,Matches
86,Daniel Borges,br BRA,DF,América (MG),29,1993,8.9,18,12,9,7,2,8,14,57.1,6,9,3,6,14,32,30,0,Matches
87,Daniel Borges,br BRA,DF,Botafogo (RJ),29,1993,0.5,3,2,3,0,0,2,4,50.0,2,2,0,2,1,4,3,0,Matches
88,Marllon Borges,br BRA,DF,Cuiabá,30,1992,36.0,50,34,31,18,1,23,44,52.3,21,38,21,17,27,77,151,0,Matches
89,Pedro Borges,br BRA,"MF,FW",Fortaleza,25,1997,6.3,16,12,7,7,2,7,12,58.3,5,7,2,5,4,20,12,1,Matches
90,Gabriel Boschilia,br BRA,"MF,FW",Coritiba,26,1996,3.8,12,5,3,8,1,7,13,53.8,6,5,1,4,1,13,3,0,Matches
91,Lucas Braga,br BRA,"DF,FW",Santos,26,1996,22.1,29,21,19,8,2,17,40,42.5,23,22,4,18,11,40,23,0,Matches
92,David Braz,br BRA,DF,Fluminense,35,1987,9.6,11,8,5,4,2,6,10,60.0,4,11,6,5,8,19,50,1,Matches
93,Brenno,br BRA,GK,Grêmio,23,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
94,Breno,br BRA,MF,Botafogo (RJ),22,2000,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
95,Breno,br BRA,FW,Palmeiras,27,1996,15.2,17,11,4,9,4,7,13,53.8,6,8,0,8,4,21,3,0,Matches
96,Emanuel Brítez,ar ARG,DF,Fortaleza,30,1992,30.7,37,25,24,10,3,23,46,50.0,23,37,26,11,31,68,147,0,Matches
97,Bruninho,br BRA,"FW,MF",Bragantino,19,2003,7.9,4,4,0,2,2,2,12,16.7,10,11,0,11,2,6,2,0,Matches
98,Fabrício Bruno,br BRA,DF,Flamengo,26,1996,34.0,48,28,29,18,1,27,35,77.1,8,40,26,14,25,73,148,1,Matches
99,Vitor Bueno,br BRA,"MF,FW",Ath Paranaense,28,1994,23.1,16,7,6,7,3,5,18,27.8,13,16,2,14,6,22,1,0,Matches
100,Esteban Burgos,ar ARG,DF,América (MG),31,1992,3.3,2,1,1,1,0,2,3,66.7,1,5,2,3,1,3,24,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Fabricio Bustos,ar ARG,DF,Internacional,26,1996,27.8,68,48,38,19,11,39,58,67.2,19,35,11,24,16,84,70,0,Matches
102,Rafael Cabral,br BRA,GK,Cruzeiro,32,1990,37.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,7,0,Matches
103,Cacá,br BRA,DF,Ath Paranaense,23,1999,18.8,27,16,23,4,0,16,25,64.0,9,23,15,8,18,45,69,1,Matches
104,Cadu,br BRA,DF,Santos,20,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
105,Caetano,br BRA,DF,Corinthians,23,1999,13.4,12,8,10,2,0,5,8,62.5,3,19,14,5,19,31,61,1,Matches
106,Jonathan Cafu,br BRA,"FW,MF",Cuiabá,31,1991,19.0,33,21,10,17,6,10,33,30.3,23,20,0,20,10,43,10,0,Matches
107,Júnior Caiçara,br BRA,DF,Santos,33,1989,1.9,5,3,3,1,1,3,7,42.9,4,2,1,1,2,7,8,0,Matches
108,Rodrigo Caio,br BRA,"MF,DF",Flamengo,29,1993,0.7,3,2,2,1,0,2,2,100.0,0,1,1,0,0,3,0,0,Matches
109,Caíque,br BRA,GK,Grêmio,25,1997,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
110,Calebe,br BRA,"MF,FW",Fortaleza,22,2000,16.4,17,10,6,7,4,7,24,29.2,17,12,1,11,6,23,3,0,Matches
111,Jonathan Calleri,ar ARG,FW,São Paulo,29,1993,15.0,7,4,1,1,5,3,8,37.5,5,7,1,6,5,12,15,0,Matches
112,Patric Calmon PK,br BRA,DF,Cuiabá,28,1994,5.8,12,9,8,1,3,7,13,53.8,6,9,1,8,9,21,19,0,Matches
113,Guilherme Camacho,br BRA,MF,Santos,32,1990,5.0,15,9,7,7,1,6,16,37.5,10,14,4,10,5,20,11,0,Matches
