Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
423,Marcinho,br BRA,DF,América (MG),26,1996,8.9,0,8,1,12.5,0.90,0.11,0.00,0.00,28.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
424,Erick Marcus,br BRA,"MF,FW",Vasco da Gama,18,2004,4.4,1,8,2,25.0,1.80,0.45,0.13,0.50,16.2,0,0,0,0.6,0.6,0.08,#ERROR!,#ERROR!,Matches
425,Mariano,br BRA,DF,Atlético Mineiro,36,1986,17.4,0,1,1,100.0,0.06,0.06,0.00,0.00,14.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
426,Marinho,br BRA,"FW,DF",Flamengo,32,1990,0.9,0,4,1,25.0,4.39,1.10,0.00,0.00,17.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
427,Marinho,br BRA,"FW,MF",Fortaleza,32,1990,12.7,2,37,12,32.4,2.91,0.94,0.05,0.17,23.9,6,0,1,3.3,2.5,0.07,-1.3,-0.5,Matches
428,Marlon,br BRA,DF,Cruzeiro,25,1997,35.5,3,23,5,21.7,0.65,0.14,0.13,0.60,24.6,6,0,0,1.3,1.2,0.05,#ERROR!,#ERROR!,Matches
429,Marlon,br BRA,DF,América (MG),28,1994,18.6,1,11,3,27.3,0.59,0.16,0.09,0.33,24.2,0,0,0,0.5,0.5,0.04,#ERROR!,#ERROR!,Matches
430,Marlon,br BRA,DF,Fluminense,27,1995,10.4,0,3,1,33.3,0.29,0.10,0.00,0.00,20.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
431,Igor Marques,br BRA,DF,Cruzeiro,24,1999,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
432,Renato Marques,br BRA,"FW,MF",América (MG),19,2003,5.7,3,14,6,42.9,2.45,01.05,0.21,0.50,18.1,0,0,0,1.3,1.3,0.09,#ERROR!,#ERROR!,Matches
433,Juan Martín Lucero,ar ARG,FW,Fortaleza,31,1991,23.0,9,52,21,40.4,2.26,0.91,0.12,0.29,16.2,0,3,3,9.2,6.8,0.13,-0.2,-0.8,Matches
434,Martinelli,br BRA,"MF,DF",Fluminense,21,2001,20.9,2,20,5,25.0,0.96,0.24,0.10,0.40,20.6,0,0,0,1.2,1.2,0.06,#ERROR!,#ERROR!,Matches
435,Andre Martins,br BRA,"FW,MF",Grêmio,21,2001,4.1,3,14,4,28.6,3.42,0.98,0.21,0.75,12.3,0,0,0,1.3,1.3,0.09,#ERROR!,#ERROR!,Matches
436,Gustavo Martins Santos,br BRA,"DF,MF",Grêmio,20,2002,7.7,1,7,3,42.9,0.91,0.39,0.14,0.33,9.5,0,0,0,1.0,1.0,0.15,0.0,0.0,Matches
437,Gonzalo Mastriani,uy URU,FW,América (MG),29,1993,19.9,11,54,23,42.6,2.71,1.15,0.19,0.43,14.3,0,1,2,10.7,9.2,0.17,#ERROR!,#ERROR!,Matches
438,Matheusinho,br BRA,"MF,FW",América (MG),24,1998,2.5,0,6,4,66.7,2.36,1.57,0.00,0.00,19.4,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
439,Matheusinho,br BRA,DF,Cuiabá,24,1998,4.8,1,5,2,40.0,01.04,0.42,0.20,0.50,21.3,0,0,0,0.8,0.8,0.15,#ERROR!,#ERROR!,Matches
440,Matheuzinho,br BRA,DF,Flamengo,22,2000,6.9,0,4,1,25.0,0.58,0.15,0.00,0.00,17.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
441,Mauricio,br BRA,"FW,MF",Internacional,21,2001,19.6,6,45,13,28.9,2.29,0.66,0.13,0.46,20.8,1,0,0,4.8,4.8,0.11,#ERROR!,#ERROR!,Matches
442,Maycon,br BRA,MF,Corinthians,25,1997,26.7,2,22,8,36.4,0.82,0.30,0.09,0.25,22.7,0,0,0,1.4,1.4,0.06,#ERROR!,#ERROR!,Matches
443,Mayke,br BRA,"DF,FW",Palmeiras,30,1992,27.8,1,8,2,25.0,0.29,0.07,0.13,0.50,17.7,0,0,0,0.9,0.9,0.11,#ERROR!,#ERROR!,Matches
444,Gary Medel,cl CHI,"DF,MF",Vasco da Gama,35,1987,19.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
445,Bruno Melo,br BRA,DF,Goiás,30,1992,32.1,2,30,6,20.0,0.93,0.19,0.07,0.33,16.2,8,0,0,2.5,2.5,0.08,-0.5,-0.5,Matches
446,Felipe Melo,br BRA,DF,Fluminense,39,1983,11.0,2,4,2,50.0,0.37,0.18,0.50,1.00,15.9,0,0,0,0.4,0.4,0.09,#ERROR!,#ERROR!,Matches
447,Darlan Mendes,br BRA,MF,Grêmio,24,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
448,Matheus Mendes,br BRA,GK,Atlético Mineiro,23,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
449,Nathan Mendes,br BRA,DF,São Paulo,20,2002,13.1,1,3,2,66.7,0.23,0.15,0.33,0.50,10.0,0,0,0,0.5,0.5,0.15,#ERROR!,#ERROR!,Matches
450,Vitor Mendes,br BRA,DF,Fluminense,23,1999,1.2,0,1,1,100.0,0.83,0.83,0.00,0.00,7.5,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
451,Bruno Méndez,uy URU,DF,Corinthians,23,1999,18.3,0,4,0,0.0,0.22,0.00,0.00,,18.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
452,Jhegson Méndez,ec ECU,MF,São Paulo,25,1997,4.1,0,1,0,0.0,0.24,0.00,0.00,,33.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
453,Óscar Méndez,uy URU,MF,América (MG),28,1994,2.9,0,1,0,0.0,0.35,0.00,0.00,,34.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
454,Stiven Mendoza,co COL,"FW,MF",Santos,30,1992,18.6,6,41,13,31.7,2.21,0.70,0.10,0.31,19.1,0,2,2,5.0,3.4,0.08,#ERROR!,#ERROR!,Matches
455,Gabriel Menino,br BRA,MF,Palmeiras,22,2000,17.7,2,34,7,20.6,1.92,0.40,0.06,0.29,25.2,3,0,0,1.7,1.7,0.05,#ERROR!,#ERROR!,Matches
456,Gabriel Mercado,ar ARG,DF,Internacional,35,1987,24.2,0,9,1,11.1,0.37,0.04,0.00,0.00,10.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
457,Higor Meritão,br BRA,MF,Goiás,28,1994,2.5,0,5,0,0.0,02.02,0.00,0.00,,19.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
458,Messias,br BRA,DF,Santos,28,1994,26.6,2,18,8,44.4,0.68,0.30,0.11,0.25,12.2,0,0,0,1.6,1.6,0.09,#ERROR!,#ERROR!,Matches
459,Bruno Mezenga,br BRA,"FW,MF",Santos,34,1988,1.9,0,5,1,20.0,2.68,0.54,0.00,0.00,13.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
460,Carlos Miguel,br BRA,GK,Corinthians,24,1998,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
461,Fernando Miguel,br BRA,GK,Fortaleza,37,1985,5.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
462,Mikael,br BRA,FW,América (MG),23,1999,1.7,0,8,2,25.0,4.71,1.18,0.00,0.00,23.7,2,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
463,Lucas Milla,br BRA,MF,Grêmio,20,2003,3.4,0,3,0,0.0,0.89,0.00,0.00,,19.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
464,Mina,br BRA,DF,Goiás,19,2003,0.5,0,2,0,0.0,4.00,0.00,0.00,,8.5,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
465,Lucas Mineiro,br BRA,MF,Cuiabá,26,1996,6.8,0,5,0,0.0,0.74,0.00,0.00,,21.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
466,Vinicius Mingotti,br BRA,FW,Bahia,23,2000,7.3,2,12,6,50.0,1.64,0.82,0.17,0.33,13.3,0,0,0,1.9,1.9,0.16,#ERROR!,#ERROR!,Matches
467,Miranda,br BRA,DF,Vasco da Gama,23,2000,4.3,0,4,1,25.0,0.93,0.23,0.00,0.00,11.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
468,Moises,br BRA,"MF,FW",Fortaleza,26,1996,4.1,3,17,12,70.6,4.17,2.94,0.18,0.25,15.3,0,0,0,2.5,2.5,0.15,#ERROR!,#ERROR!,Matches
469,Rodrigo Moledo,br BRA,DF,Internacional,35,1987,5.3,0,1,1,100.0,0.19,0.19,0.00,0.00,14.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
470,Rafael Monteiro,br BRA,MF,Fluminense,18,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
471,Júnior Moraes,ua UKR,DF,Corinthians,35,1987,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
472,João Moreira,pt POR,DF,São Paulo,18,2004,0.8,0,1,1,100.0,1.29,1.29,0.00,0.00,24.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
473,Everton Morelli,br BRA,MF,Goiás,25,1997,28.7,3,32,6,18.8,1.11,0.21,0.09,0.50,21.4,0,0,0,1.6,1.6,0.05,#ERROR!,#ERROR!,Matches
474,Alfredo Morelos,co COL,"FW,MF",Santos,26,1996,0.9,0,3,2,66.7,3.51,2.34,0.00,0.00,18.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
475,Marcelino Moreno,ar ARG,MF,Coritiba,28,1994,25.6,2,35,13,37.1,1.37,0.51,0.06,0.15,21.2,5,0,0,1.9,1.9,0.05,#ERROR!,#ERROR!,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
476,Gabriel Moscardo,br BRA,MF,Corinthians,17,2005,12.6,1,9,2,22.2,0.72,0.16,0.11,0.50,25.2,0,0,0,0.3,0.3,0.03,#ERROR!,#ERROR!,Matches
477,Henry Mosquera,co COL,"FW,MF",Bragantino,21,2001,11.8,2,28,7,25.0,2.38,0.59,0.07,0.29,20.6,0,0,0,1.9,1.9,0.07,#ERROR!,#ERROR!,Matches
478,Gustavo Mosquito,br BRA,"FW,MF",Corinthians,25,1997,3.4,1,3,2,66.7,0.88,0.58,0.33,0.50,16.1,0,0,0,0.2,0.2,0.06,#ERROR!,#ERROR!,Matches
479,Hugo Moura,br BRA,MF,Ath Paranaense,25,1998,14.7,0,11,1,9.1,0.75,0.07,0.00,0.00,28.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
480,Lucas Moura,br BRA,"FW,MF",São Paulo,30,1992,9.6,1,15,5,33.3,1.56,0.52,0.07,0.20,21.8,5,0,0,1.0,1.0,0.07,0.0,0.0,Matches
481,Neto Moura,br BRA,MF,Cruzeiro,26,1996,5.5,0,7,1,14.3,1.26,0.18,0.00,0.00,22.2,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
482,Lucas Mugni,ar ARG,"MF,FW",Bahia,31,1992,4.0,0,4,2,50.0,1.00,0.50,0.00,0.00,24.2,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
483,Murillo,br BRA,DF,Corinthians,20,2002,12.9,0,7,1,14.3,0.54,0.08,0.00,0.00,16.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
484,Andrey Ramos do Nascimento,br BRA,MF,Coritiba,24,1998,12.5,1,20,6,30.0,1.60,0.48,0.05,0.17,30.8,6,0,0,0.6,0.6,0.03,#ERROR!,#ERROR!,Matches
485,Bruno Nascimento,br BRA,"FW,MF",Cruzeiro,25,1997,31.3,8,76,27,35.5,2.43,0.86,0.08,0.22,21.2,8,2,4,9.4,6.2,0.08,-1.4,-0.2,Matches
486,Matheus Nascimento,br BRA,"FW,MF",Botafogo (RJ),18,2004,1.1,1,3,2,66.7,2.76,1.84,0.33,0.50,9.4,0,0,0,0.8,0.8,0.28,#ERROR!,#ERROR!,Matches
487,Nata,br BRA,"FW,DF",Grêmio,21,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
488,Natan,br BRA,DF,Bragantino,21,2001,9.3,0,5,1,20.0,0.54,0.11,0.00,0.00,11.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
489,Natanael,br BRA,DF,Coritiba,21,2002,27.8,0,17,8,47.1,0.61,0.29,0.00,0.00,21.3,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
490,Nathan,br BRA,DF,Santos,21,2001,5.5,0,2,0,0.0,0.37,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
491,Nathan,br BRA,"MF,FW",Grêmio,26,1996,7.6,1,18,6,33.3,2.37,0.79,0.06,0.17,21.3,1,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
492,Rafael Navarro,br BRA,FW,Palmeiras,22,2000,1.4,1,4,2,50.0,2.88,1.44,0.25,0.50,8.2,0,0,0,1.2,1.2,0.30,-0.2,-0.2,Matches
493,Kaiky Naves,br BRA,"DF,FW",Palmeiras,20,2002,5.8,0,2,0,0.0,0.34,0.00,0.00,,9.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
494,Felipe Negrucci,br BRA,MF,São Paulo,18,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
495,Emerson Negueba,br BRA,FW,Cuiabá,22,2000,5.4,0,12,4,33.3,2.23,0.74,0.00,0.00,20.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
496,Neris,br BRA,DF,Cruzeiro,30,1992,23.5,0,15,4,26.7,0.64,0.17,0.00,0.00,11.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
497,Rodrigo Nestor,br BRA,"MF,FW",São Paulo,22,2000,16.1,1,35,12,34.3,2.17,0.74,0.03,0.08,19.4,0,0,0,3.2,3.2,0.09,-2.2,-2.2,Matches
498,João Neto,br BRA,"MF,DF",Fluminense,19,2003,0.6,1,1,1,100.0,1.73,1.73,1.00,1.00,7.0,0,0,0,0.4,0.4,0.41,#ERROR!,#ERROR!,Matches
499,Gabriel Neves,uy URU,MF,São Paulo,25,1997,10.7,1,1,1,100.0,0.09,0.09,1.00,1.00,13.6,0,0,0,0.1,0.1,0.10,#ERROR!,#ERROR!,Matches
500,Newton,br BRA,MF,Botafogo (RJ),22,2000,0.1,0,1,0,0.0,11.25,0.00,0.00,,30.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
501,Nicolas,br BRA,DF,América (MG),25,1997,8.0,1,8,5,62.5,1.00,0.62,0.13,0.20,29.5,4,0,0,0.2,0.2,0.03,#ERROR!,#ERROR!,Matches
502,Nikão,br BRA,"FW,MF",Cruzeiro,30,1992,8.9,2,16,4,25.0,1.80,0.45,0.13,0.50,21.3,0,0,0,0.6,0.6,0.04,#ERROR!,#ERROR!,Matches
503,Nino,br BRA,DF,Fluminense,25,1997,23.9,2,14,6,42.9,0.58,0.25,0.14,0.33,12.9,0,0,0,1.2,1.2,0.09,#ERROR!,#ERROR!,Matches
504,Freddy Noguera,py PAR,FW,Grêmio,19,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
505,Nonato,br BRA,MF,Santos,24,1998,7.3,1,9,3,33.3,1.23,0.41,0.11,0.33,24.5,0,0,0,0.4,0.4,0.04,#ERROR!,#ERROR!,Matches
506,Gabriel Novaes,br BRA,FW,Goiás,23,1999,1.1,0,1,1,100.0,0.95,0.95,0.00,0.00,21.5,0,0,0,0.4,0.4,0.42,-0.4,-0.4,Matches
507,Ruan Oliveira Ferreira,br BRA,"MF,FW",Corinthians,22,2000,9.8,2,15,6,40.0,1.53,0.61,0.13,0.33,28.6,3,0,0,0.5,0.5,0.03,#ERROR!,#ERROR!,Matches
508,Lucas Oliveira,br BRA,DF,Cruzeiro,26,1996,14.6,1,4,1,25.0,0.27,0.07,0.25,1.00,14.3,0,0,0,0.4,0.4,0.10,#ERROR!,#ERROR!,Matches
509,Pedro Oliveira,br BRA,"FW,MF",Goiás,18,2004,2.2,0,2,1,50.0,0.92,0.46,0.00,0.00,12.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
510,Cauly Oliveira Souza,br BRA,"MF,FW",Bahia,27,1995,28.3,4,65,18,27.7,2.30,0.64,0.06,0.22,19.9,4,0,0,5.4,5.4,0.08,-1.4,-1.4,Matches
511,Luca Orellano,ar ARG,"FW,MF",Vasco da Gama,22,2000,6.9,1,17,5,29.4,2.46,0.72,0.06,0.20,23.1,3,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
512,Leo Ortiz,br BRA,DF,Bragantino,27,1996,17.8,2,14,6,42.9,0.79,0.34,0.14,0.33,10.7,0,0,0,1.9,1.9,0.14,#ERROR!,#ERROR!,Matches
513,Otávio,br BRA,MF,Atlético Mineiro,28,1994,25.6,0,8,2,25.0,0.31,0.08,0.00,0.00,25.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
514,João Othavio Basso,br BRA,DF,Santos,26,1997,12.8,0,7,0,0.0,0.55,0.00,0.00,,18.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
515,Luis Oyama,br BRA,MF,Goiás,26,1997,6.2,1,6,2,33.3,0.96,0.32,0.17,0.50,23.2,0,0,0,0.4,0.4,0.07,#ERROR!,#ERROR!,Matches
516,Pablinho,br BRA,FW,Cuiabá,19,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
517,Pablo,br BRA,FW,Ath Paranaense,30,1992,15.5,7,43,15,34.9,2.77,0.97,0.16,0.47,16.5,0,0,0,6.1,6.1,0.14,#ERROR!,#ERROR!,Matches
518,Pablo,br BRA,DF,Flamengo,31,1991,4.7,0,2,2,100.0,0.43,0.43,0.00,0.00,11.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
519,Bruno Pacheco,br BRA,DF,Fortaleza,31,1991,29.7,2,16,6,37.5,0.54,0.20,0.13,0.33,16.6,0,0,0,0.9,0.9,0.06,#ERROR!,#ERROR!,Matches
520,Helibelton Palacios,co COL,DF,Cruzeiro,29,1993,7.0,0,2,0,0.0,0.29,0.00,0.00,,14.1,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
521,Julián Palacios,ar ARG,"FW,MF",Goiás,23,1999,18.1,1,32,10,31.3,1.76,0.55,0.03,0.10,25.3,2,0,0,1.4,1.4,0.04,-0.4,-0.4,Matches
522,Nino Paraíba,br BRA,DF,América (MG),37,1986,2.2,0,2,1,50.0,0.91,0.46,0.00,0.00,28.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
523,Mateus Pasinato,br BRA,GK,América (MG),30,1992,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
524,Weslley Patati,br BRA,"FW,MF",Santos,19,2003,1.5,0,11,1,9.1,7.28,0.66,0.00,0.00,20.1,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
525,Alexandre Pato,br BRA,"FW,MF",São Paulo,33,1989,1.8,2,4,2,50.0,2.24,1.12,0.50,1.00,21.3,0,0,1,1.3,0.3,0.09,#ERROR!,#ERROR!,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
526,Patrick,br BRA,"MF,FW",Atlético Mineiro,30,1992,6.2,0,6,1,16.7,0.97,0.16,0.00,0.00,11.0,0,0,0,0.9,0.9,0.16,-0.9,-0.9,Matches
527,Alan Patrick,br BRA,"MF,FW",Internacional,31,1991,27.2,4,47,12,25.5,1.73,0.44,0.06,0.25,23.3,7,1,1,4.4,3.6,0.08,-0.4,-0.6,Matches
528,Luan Patrick,br BRA,DF,Bragantino,21,2002,12.4,0,4,1,25.0,0.32,0.08,0.00,0.00,7.6,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches
529,Patryck,br BRA,DF,São Paulo,20,2003,4.2,0,2,0,0.0,0.48,0.00,0.00,,24.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
530,Giuliano de Paula,br BRA,"MF,FW",Corinthians,32,1990,18.1,2,23,7,30.4,1.27,0.39,0.09,0.29,19.3,0,0,0,1.5,1.5,0.06,#ERROR!,#ERROR!,Matches
531,Jair Paula,br BRA,DF,Santos,17,2005,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
532,Paulinho,br BRA,DF,América (MG),18,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
533,Paulinho,br BRA,"FW,MF",Atlético Mineiro,22,2000,33.2,20,90,47,52.2,2.71,1.41,0.22,0.43,13.3,0,0,0,14.9,14.9,0.17,#ERROR!,#ERROR!,Matches
534,Paulinho,br BRA,MF,Vasco da Gama,26,1997,18.2,1,10,2,20.0,0.55,0.11,0.10,0.50,22.3,2,0,0,0.6,0.6,0.05,#ERROR!,#ERROR!,Matches
535,Paulinho,br BRA,DF,Vasco da Gama,17,2005,0.5,0,2,0,0.0,4.00,0.00,0.00,,,,0,0,,,,,,Matches
536,Paulinho,br BRA,"MF,FW",Corinthians,34,1988,1.6,0,2,0,0.0,1.22,0.00,0.00,,16.7,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
537,Caio Paulista,br BRA,DF,São Paulo,24,1998,23.1,1,34,14,41.2,1.47,0.61,0.03,0.07,20.4,0,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches
538,Wellington Paulista,br BRA,FW,América (MG),38,1984,2.5,1,12,1,8.3,4.76,0.40,0.08,1.00,16.0,0,0,1,1.9,1.0,0.08,-0.9,0.0,Matches
539,João Paulo,br BRA,GK,Santos,27,1995,35.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
540,Marcos Paulo,br BRA,"FW,MF",São Paulo,21,2001,5.9,2,12,4,33.3,02.05,0.68,0.17,0.50,16.0,0,0,0,0.8,0.8,0.06,#ERROR!,#ERROR!,Matches
541,Cristian Pavón,ar ARG,"FW,MF",Atlético Mineiro,27,1996,21.5,3,53,17,32.1,2.47,0.79,0.04,0.12,20.5,1,1,1,4.1,3.3,0.06,-1.1,-1.3,Matches
542,Dimitri Payet,fr FRA,"MF,FW",Vasco da Gama,35,1987,8.9,2,11,5,45.5,1.24,0.56,0.18,0.40,22.0,4,0,0,0.7,0.7,0.06,#ERROR!,#ERROR!,Matches
543,Pedrinho,br BRA,"FW,MF",América (MG),23,1999,4.6,0,14,4,28.6,03.07,0.88,0.00,0.00,17.1,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
544,Pedrinho,br BRA,"DF,MF",Ath Paranaense,20,2002,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
545,Pedrinho,br BRA,"MF,FW",Atlético Mineiro,24,1998,7.0,0,10,2,20.0,1.43,0.29,0.00,0.00,27.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
546,Pedrinho,br BRA,FW,Flamengo,19,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
547,Pedro,br BRA,FW,Flamengo,25,1997,23.9,13,59,25,42.4,2.47,01.05,0.15,0.36,16.2,0,4,4,11.1,7.9,0.13,#ERROR!,#ERROR!,Matches
548,João Pedro,br BRA,FW,Cruzeiro,19,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
549,João Pedro,it ITA,FW,Grêmio,30,1992,6.8,0,10,1,10.0,1.46,0.15,0.00,0.00,12.8,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
550,João Pedro,br BRA,DF,Grêmio,26,1996,23.1,3,12,4,33.3,0.52,0.17,0.25,0.75,20.6,0,0,0,0.7,0.7,0.06,#ERROR!,#ERROR!,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
551,João Pedro Pepê,br BRA,MF,Grêmio,25,1998,15.5,1,9,2,22.2,0.58,0.13,0.11,0.50,21.7,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches
552,Jean Pedroso,br BRA,DF,Coritiba,19,2004,6.5,0,1,0,0.0,0.15,0.00,0.00,,11.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
553,Matheus Peixoto,br BRA,FW,Goiás,27,1995,9.8,2,20,6,30.0,02.05,0.61,0.05,0.17,16.0,0,1,1,2.2,1.4,0.07,-0.2,-0.4,Matches
554,Léo Pelé,br BRA,DF,Vasco da Gama,26,1996,30.2,0,6,2,33.3,0.20,0.07,0.00,0.00,15.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
555,Carlos de Pena,uy URU,"MF,FW",Internacional,30,1992,15.8,2,31,9,29.0,1.96,0.57,0.06,0.22,23.6,4,0,0,1.4,1.4,0.04,#ERROR!,#ERROR!,Matches
556,Léo Pereira,br BRA,DF,Flamengo,27,1996,29.4,3,17,5,29.4,0.58,0.17,0.18,0.60,12.1,3,0,0,1.8,1.8,0.11,#ERROR!,#ERROR!,Matches
557,Matheus Pereira,pt POR,"FW,MF",Cruzeiro,26,1996,11.4,1,19,8,42.1,1.67,0.70,0.05,0.13,21.6,4,0,0,1.9,1.9,0.10,-0.9,-0.9,Matches
558,Bruno Peres,br BRA,"DF,MF",Ath Paranaense,32,1990,1.7,0,1,0,0.0,0.57,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
559,Lucas Perri,br BRA,GK,Botafogo (RJ),25,1997,37.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
560,Lucas Piazon,br BRA,FW,Botafogo (RJ),29,1994,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
561,Yago Pikachu,br BRA,"FW,MF",Fortaleza,30,1992,19.5,7,44,16,36.4,2.26,0.82,0.16,0.44,17.1,3,0,1,5.5,4.7,0.11,#ERROR!,#ERROR!,Matches
