Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
114,Nathan Camargo,br BRA,MF,Bragantino,17,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
115,Gustavo Campanharo,br BRA,MF,Internacional,30,1992,7.7,0,4,3,75.0,0.52,0.39,0.00,0.00,28.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
116,Camilo Cándido,uy URU,DF,Bahia,27,1995,13.8,1,10,4,40.0,0.72,0.29,0.10,0.25,25.1,1,0,0,0.4,0.4,0.04,#ERROR!,#ERROR!,Matches
117,Luan Cândido,br BRA,DF,Bragantino,21,2001,12.0,1,29,12,41.4,2.41,1.00,0.03,0.08,20.6,6,0,0,1.8,1.8,0.06,-0.8,-0.8,Matches
118,Germán Cano,ar ARG,FW,Fluminense,34,1988,27.4,10,81,33,40.7,2.96,1.20,0.12,0.30,20.3,0,0,1,10.0,9.2,0.11,0.0,#ERROR!,Matches
119,Agustín Canobbio,uy URU,"FW,MF",Ath Paranaense,24,1998,23.5,3,67,29,43.3,2.85,1.23,0.04,0.10,20.1,4,0,0,5.5,5.5,0.08,-2.5,-2.5,Matches
120,Víctor Cantillo,co COL,MF,Corinthians,29,1993,3.0,0,3,2,66.7,01.02,0.68,0.00,0.00,30.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
121,Manuel Capasso,ar ARG,DF,Vasco da Gama,26,1996,6.2,0,1,0,0.0,0.16,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
122,Juninho Capixaba,br BRA,DF,Bragantino,25,1997,31.9,2,51,21,41.2,1.60,0.66,0.04,0.10,20.2,2,0,0,2.9,2.9,0.06,-0.9,-0.9,Matches
123,Gabriel Carabajal,ar ARG,MF,Vasco da Gama,31,1991,1.4,0,4,0,0.0,2.95,0.00,0.00,,23.5,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
124,Felipe Carballo,uy URU,MF,Grêmio,26,1996,17.1,1,19,5,26.3,1.11,0.29,0.05,0.20,16.8,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches
125,Johnny Cardoso,us USA,MF,Internacional,21,2001,17.9,2,15,8,53.3,0.84,0.45,0.13,0.25,18.6,0,0,0,1.1,1.1,0.08,#ERROR!,#ERROR!,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
126,Ed Carlos,br BRA,"MF,FW",Santos,21,2001,0.4,0,1,0,0.0,2.50,0.00,0.00,,31.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
127,João Carlos,br BRA,GK,Cuiabá,34,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
128,Ryan Carlos,br BRA,DF,Bahia,20,2002,6.4,0,2,1,50.0,0.31,0.16,0.00,0.00,20.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
129,Alan Carvalho,cn CHN,MF,Fluminense,33,1989,0.5,1,1,1,100.0,2.00,2.00,1.00,1.00,5.1,0,0,0,0.6,0.6,0.63,#ERROR!,#ERROR!,Matches
130,Breno Cascardo,br BRA,MF,América (MG),19,2003,12.9,1,22,5,22.7,1.70,0.39,0.05,0.20,22.9,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
131,Cássio,br BRA,GK,Corinthians,35,1987,36.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
132,Luciano Castán,br BRA,DF,Cruzeiro,33,1989,35.7,1,24,8,33.3,0.67,0.22,0.04,0.13,11.7,0,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
133,Iury de Castilho,br BRA,FW,Cuiabá,27,1995,4.4,0,12,4,33.3,2.71,0.90,0.00,0.00,18.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
134,Matheus Cavichioli,br BRA,GK,América (MG),36,1986,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
135,Juan Cazares,ec ECU,"MF,FW",América (MG),30,1992,3.1,0,6,2,33.3,1.91,0.64,0.00,0.00,26.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
136,Brayan Ceballos,co COL,DF,Fortaleza,21,2001,2.3,0,2,1,50.0,0.87,0.44,0.00,0.00,10.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
137,Pablo Ceppelini,uy URU,MF,Cuiabá,31,1991,11.1,0,20,8,40.0,1.81,0.72,0.00,0.00,22.3,2,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
138,Murilo Cerqueira,br BRA,DF,Palmeiras,25,1997,24.1,3,12,7,58.3,0.50,0.29,0.25,0.43,11.1,0,0,0,1.0,1.0,0.08,#ERROR!,#ERROR!,Matches
