,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
,46.00,Filipe Augusto,br BRA,MF,Cuiabá,29.00,"1,993.00",27.00,9.00,"1,065.00",11.80,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,0.30,0.30,0.90,1.10,9.00,78.00,16.00,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
,47.00,Renato Augusto,br BRA,MF,Corinthians,34.00,"1,988.00",24.00,16.00,"1,282.00",14.20,2.00,4.00,6.00,2.00,0.00,0.00,1.00,0.00,1.10,1.10,2.10,3.20,38.00,98.00,98.00,0.14,0.28,0.42,0.14,0.42,0.08,0.15,0.22,0.08,0.22,Matches
,48.00,Danilo Avelar,br BRA,DF,América (MG),33.00,"1,989.00",26.00,24.00,"1,984.00",22.00,3.00,1.00,4.00,2.00,1.00,1.00,5.00,1.00,4.00,3.20,0.70,3.90,11.00,81.00,42.00,0.14,0.05,0.18,0.09,0.14,0.18,0.03,0.21,0.14,0.18,Matches
,49.00,Felipe Azevedo,br BRA,"FW,MF",América (MG),36.00,"1,987.00",30.00,25.00,"1,748.00",19.40,4.00,1.00,5.00,4.00,0.00,0.00,3.00,1.00,3.70,3.70,2.00,5.70,31.00,52.00,121.00,0.21,0.05,0.26,0.21,0.26,0.19,0.10,0.29,0.19,0.29,Matches
,50.00,Matheus Babi,br BRA,FW,Goiás,25.00,"1,997.00",17.00,8.00,881.00,9.80,4.00,0.00,4.00,4.00,0.00,0.00,5.00,0.00,2.60,2.60,0.30,2.80,2.00,12.00,39.00,0.41,0.00,0.41,0.41,0.41,0.26,0.03,0.29,0.26,0.29,Matches
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
,51.00,Matheus Bahia,br BRA,"DF,MF",Bahia,23.00,"1,999.00",12.00,6.00,493.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.10,0.10,0.40,0.50,15.00,12.00,21.00,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
,52.00,Fabián Balbuena,py PAR,DF,Corinthians,31.00,"1,991.00",1.00,1.00,89.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
,53.00,Robson Bambu,br BRA,DF,Vasco da Gama,25.00,"1,997.00",18.00,16.00,"1,280.00",14.20,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.50,0.50,0.10,0.60,5.00,33.00,13.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
,54.00,Gabriel Baralhas,br BRA,MF,Internacional,24.00,"1,998.00",5.00,2.00,236.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.20,3.00,13.00,5.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches
,55.00,Danilo Barbosa,br BRA,"MF,DF",Botafogo (RJ),26.00,"1,996.00",23.00,10.00,"1,011.00",11.20,3.00,0.00,3.00,3.00,0.00,0.00,5.00,0.00,1.00,1.00,0.10,1.20,14.00,54.00,7.00,0.27,0.00,0.27,0.27,0.27,0.09,0.01,0.10,0.09,0.10,Matches
,56.00,Diogo Barbosa,br BRA,DF,Fluminense,30.00,"1,992.00",19.00,10.00,"1,117.00",12.40,1.00,2.00,3.00,1.00,0.00,0.00,1.00,0.00,0.30,0.30,1.30,1.60,35.00,51.00,68.00,0.08,0.16,0.24,0.08,0.24,0.02,0.10,0.13,0.02,0.13,Matches
,57.00,Diogo Barbosa,br BRA,DF,Grêmio,30.00,"1,992.00",6.00,4.00,386.00,4.30,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.20,0.20,8.00,17.00,19.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
,58.00,Gabriel Barbosa,br BRA,FW,Flamengo,26.00,"1,996.00",26.00,17.00,"1,540.00",17.10,5.00,1.00,6.00,1.00,4.00,5.00,7.00,2.00,9.50,5.60,1.60,7.10,26.00,79.00,112.00,0.29,0.06,0.35,0.06,0.12,0.56,0.09,0.65,0.33,0.42,Matches
,59.00,Lucas Barbosa,br BRA,"FW,MF",Santos,21.00,"2,001.00",4.00,1.00,103.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.25,0.02,0.27,0.25,0.27,Matches
,60.00,Lucas Barbosa,br BRA,"MF,FW",Coritiba,21.00,"2,001.00",5.00,0.00,102.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.20,0.30,1.00,4.00,10.00,0.00,0.00,0.00,0.00,0.00,0.11,0.16,0.27,0.11,0.27,Matches
,61.00,Chrystian Barletta,br BRA,MF,Corinthians,21.00,"2,001.00",3.00,2.00,127.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
,62.00,Cauan Barros,br BRA,MF,Vasco da Gama,18.00,"2,004.00",8.00,3.00,237.00,2.60,1.00,0.00,1.00,1.00,0.00,0.00,2.00,0.00,0.30,0.30,0.10,0.40,0.00,7.00,4.00,0.38,0.00,0.38,0.38,0.38,0.13,0.04,0.17,0.13,0.17,Matches
,63.00,Gabriel Barros,br BRA,"FW,MF",Internacional,21.00,"2,001.00",5.00,2.00,177.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.20,0.20,0.50,0.80,4.00,4.00,12.00,0.00,0.51,0.51,0.00,0.51,0.12,0.27,0.38,0.12,0.38,Matches
,64.00,Bastos,ao ANG,DF,Botafogo (RJ),31.00,"1,991.00",4.00,2.00,118.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
,65.00,Fellipe Bastos,br BRA,MF,Goiás,32.00,"1,990.00",1.00,0.00,36.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
